"Category","field_name","Note","Source"
"","BookBuyerI","Book Buyer In Home","Commercial Data"
"","FamilyMaga","Family Magazine In Home","Commercial Data"
"","FemaleOrie","Female Oriented Magazine In Home","Commercial Data"
"","ReligiousM","Religious Magazine In Home","Commercial Data"
"","GardeningM","Gardening Magazine In Home","Commercial Data"
"","CulinaryIn","Culinary Interest Magazine In Home","Commercial Data"
"","HealthFitn","Health Fitness Magazine In Home","Commercial Data"
"","DoItYourse","Do It Yourselfer Magazine In Home","Commercial Data"
"","FinancialM","Financial Magazine In Home","Commercial Data"
"","ReligiousC","Religious Contributor In Home","Commercial Data"
"","PoliticalC","Political Contributer In Home","Commercial Data"
"","MedianEduc","Median Education Years","Commercial Data"
"","PRS16_PD","Precinct % Clinton in November 2016","Election results"
"","PRS16_PR","Precinct % Trump in November 2016","Election results"
"","","",""
"","MSG_A","Flag indicating if the voter received message A","Synthetic"
"","MSG_B","Flag indicating if the voter received message B","Synthetic"
"","","",""
"ID fields.  These are candidate support IDs from two waves of IDs","","",""
"","CAND1S","Wave 1 candidate ID with strenght of support.  SD=Strong Democrat, LD=Lean Democrat, U=Undecided, LR=Lean Republican, SR=Strong Republican","Synthetic"
"","CAND2S","Wave 2 candidate ID with strenght of support","Synthetic"
"","MESSAGE","Which message the voter received, A, B or blank if the did not get a message","Synthetic"
"","","",""
"Dependent variable fields.  These are the fields to be predicted in modeling tasks.  Do not use these ad model inputs.","","",""
"","VG14","Voted in the general election 11/2014.  Y if they voted. N if they were registered but did not vote.  Blank if not registered as of 11/14",""
"","D2","Democrat 2-way.  Y if voter is a Democrat, N if Republican, blank if independent or minor party",""
"","R2","Republican 2-way.  Y if voter is a Republican, N if Democrat, blank if independent or minor party",""
"","D3","Democrat 3-way.  Y if voter is a Democrat, N if Republican, independent or minor party",""
"","R3","Republican 3-way.  Y if voter is a Republican, N if Democrat, independent or minor party",""
"","I3","Independent 3-way.  Y if voter is an independent or minor party member.  N if Democrat or Republican",""
"","CAND1_UND","Undecided in wave 1 IDs",""
"","CAND1_SD2","Strong Democrat 2-way in wave 1 IDs",""
"","CAND1_SDA","Strong Democrat all-way in wave 1 IDs",""
"","CAND1_LD2","Strong or lean Democrat 2-way in wave 1 IDs",""
"","CAND1_LDA","Strong or lean Democrat all-way in wave 1 IDs",""
"","CAND1_SR2","Strong Republican 2-way in wave 1 IDs",""
"","CAND1_SRA","Strong Republican all-way in wave 1 IDs",""
"","CAND1_LRA","Strong or lean Republican 2-way in wave 1 IDs",""
"","CAND1_LR2","Strong or lean Republican all-way in wave 1 IDs",""
"","CAND1_SFT","Soft support on undecided in wave 1 IDs",""
"","CAND2_UND","Undecided in wave 2 IDs",""
"","CAND2_SD2","Strong Democrat 2-way in wave 2 IDs",""
"","CAND2_SDA","Strong Democrat all-way in wave 2 IDs",""
"","CAND2_LD2","Strong or lean Democrat 2-way in wave 2 IDs",""
"","CAND2_LDA","Strong or lean Democrat all-way in wave 2 IDs",""
"","CAND2_SR2","Strong Republican 2-way in wave 2 IDs",""
"","CAND2_SRA","Strong Republican all-way in wave 2 IDs",""
"","CAND2_LRA","Strong or lean Republican all-way in wave 2 IDs",""
"","CAND2_LR2","Strong or lean Republican 2-way in wave 2 IDs",""
"","CAND2_SFT","Soft support on undecided in wave 2 IDs",""
"","MOVED_RD","Moved from Republican to Democrat to between wave 1 and wave 2 IDs",""
"","MOVED_DR","Moved from Democrat to Republican between wave 1 and wave 2 IDs",""
"","MOVED_AW","Moved in any way between wave 1 and wave 2 IDs",""
"","MOVED_U","Moved from supporting a candidate to being undecided",""
"","MOVED_AD","Moved to be more supportive of the Democratic candidate.  Stronger support for the Democrat or weaker support for the Republican in wave 2 than in wave 1.",""
"","MOVED_AR","Moved to be more supportive of the Republican candidate.  Stronger support for the Republican or weaker support for the Democratic in wave 2 than in wave 1.",""
"","MOVED_RDMA","Received message A and moved from Republican to Democrat between wave 1 and wave 2 IDs",""
"","MOVED_DRMA","Received message A and moved from Democrat to Republican between wave 1 and wave 2 IDs",""
"","MOVED_AWMA","Received message A and moved in any way between wave 1 and wave 2 IDs",""
"","MOVED_ADMA","Received message A and moved to be more supportive of the Democratic candidate.  Stronger support for the Democrat or weaker support for the Republican in wave 2 than in wave 1.",""
"","MOVED_ARMA","Received message A and moved to be more supportive of the Republican candidate.  Stronger support for the Republican or weaker support for the Democratic in wave 2 than in wave 1.",""
"","MOVED_RDMB","Received message B and moved from Republican to Democrat between wave 1 and wave 2 IDs",""
"","MOVED_DRMB","Received message B and moved from Democrat to Republican between wave 1 and wave 2 IDs",""
"","MOVED_AWMB","Received message B and moved in any way between wave 1 and wave 2 IDs",""
"","MOVED_ADMB","Received message B and moved to be more supportive of the Democratic candidate.  Stronger support for the Democrat or weaker support for the Republican in wave 2 than in wave 1.",""
"","MOVED_ARMB","Received message B and moved to be more supportive of the Republican candidate.  Stronger support for the Republican or weaker support for the Democratic in wave 2 than in wave 1.",""
