"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u11",7,NA,NA,6,6,7,NA,5,6,5,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,8,4,NA,NA,4,6,NA,NA,NA,NA,NA,4,6,NA,4,NA,8,4,NA,NA,6,7,5,5,6,5,7,NA,7,NA,NA,NA,NA,5,NA,NA,6,4,NA,7,NA,NA,NA,NA,NA,NA,3,5,NA,2,5,4,5,NA,NA,6,NA,NA,6,NA,4,5,6,4,NA,6,NA,NA,5,NA,NA,6,4,7
"u12",6,5,NA,NA,4,NA,6,5,5,5,5,5,4,5,NA,4,NA,5,5,7,NA,NA,NA,NA,NA,NA,8,5,7,NA,4,5,NA,6,NA,NA,NA,5,7,NA,NA,NA,7,4,NA,NA,5,6,4,6,NA,6,6,NA,NA,5,NA,6,NA,4,NA,2,6,4,5,NA,5,7,NA,4,NA,6,3,NA,NA,NA,4,6,7,NA,NA,7,6,5,5,5,NA,4,NA,5,5,NA,NA,NA,NA,NA,NA,6,NA,NA
"u13",6,4,6,NA,6,NA,NA,5,NA,7,4,5,4,NA,NA,NA,6,NA,7,NA,NA,NA,NA,6,5,NA,NA,4,NA,5,5,NA,NA,NA,NA,NA,6,NA,NA,4,6,6,NA,5,5,NA,5,6,7,6,NA,4,5,NA,NA,NA,7,6,5,6,6,NA,NA,NA,4,NA,3,NA,NA,NA,NA,7,6,NA,5,NA,5,5,6,NA,4,4,NA,NA,5,5,NA,6,4,NA,NA,5,NA,NA,NA,NA,NA,6,5,NA
"u14",NA,4,6,NA,5,5,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,NA,5,5,NA,NA,NA,4,NA,NA,5,NA,NA,NA,5,6,NA,NA,4,NA,6,5,NA,NA,NA,6,5,6,7,NA,7,NA,5,7,NA,NA,4,NA,NA,5,5,5,6,NA,NA,NA,5,NA,NA,4,6,NA,6,NA,6,4,6,NA,3,5,NA,6,5,NA,6,NA,5,NA,5,NA,NA,5,5,NA,NA,5,4,NA,NA,NA,8,NA,NA
"u15",NA,NA,6,NA,6,NA,5,NA,NA,7,5,NA,6,6,NA,NA,5,5,NA,5,6,NA,NA,NA,5,NA,6,NA,5,NA,5,4,6,4,NA,3,5,5,8,4,3,NA,NA,NA,5,6,6,7,4,NA,NA,NA,7,6,NA,NA,7,5,NA,5,NA,3,6,NA,5,NA,NA,NA,NA,NA,NA,5,3,NA,6,NA,4,NA,6,6,NA,NA,7,NA,6,NA,NA,6,5,5,5,NA,6,NA,NA,NA,NA,7,5,NA
"u16",6,6,NA,NA,5,NA,NA,6,7,NA,NA,NA,5,NA,6,NA,6,NA,7,NA,5,NA,4,5,4,NA,NA,NA,5,NA,NA,NA,6,6,4,5,NA,NA,NA,NA,4,4,NA,NA,8,NA,6,NA,NA,NA,7,5,6,NA,4,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,5,6,NA,5,NA,5,4,NA,NA,NA,4,5,5,NA,NA,NA,NA,5,6,4,NA,6,NA,NA,4,7,NA,6,NA,NA,NA,7,NA,7
"u17",6,4,NA,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,5,3,5,6,6,NA,5,7,3,NA,7,NA,8,5,6,NA,NA,NA,5,NA,NA,4,NA,5,NA,5,5,6,NA,4,5,6,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,7,NA,7,NA,NA,NA,4,7,8,5,NA,7,NA,NA,NA,4,6,6,6,7,6,NA,NA,5,5,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,5,6,7
"u18",NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,4,NA,NA,NA,5,4,6,6,5,4,6,4,5,7,NA,NA,5,NA,NA,NA,4,NA,6,4,4,NA,NA,5,6,5,NA,NA,4,5,NA,NA,NA,7,NA,7,5,NA,5,NA,NA,6,4,5,6,NA,7,NA,NA,NA,4,4,NA,NA,NA,NA,5,4,5,6,5,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,7,3,6,NA,NA,NA,NA,NA,NA,5,6
"u19",5,NA,NA,NA,NA,4,NA,NA,6,NA,NA,5,6,6,3,5,3,6,NA,6,4,6,NA,NA,7,2,NA,6,6,7,NA,5,NA,NA,7,NA,6,5,6,NA,NA,NA,9,3,4,7,NA,NA,6,NA,7,NA,6,NA,NA,4,6,NA,3,6,NA,NA,6,5,NA,5,4,7,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,5,4,5,7,NA,NA,4,5,NA,5,6,NA,6,NA,NA,NA,7,NA,NA,7,7
"u20",NA,5,NA,6,NA,NA,NA,NA,5,6,5,4,NA,NA,6,3,NA,5,7,6,NA,NA,5,NA,6,NA,8,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,5,6,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,6,NA,4,NA,6,6,6,4,NA,6,NA,NA,NA,5,4,7,NA,NA,NA,6,6,4,NA,4,5,6,6,5,NA,NA,7,5,NA,NA,5,6,NA,NA
"u21",6,5,NA,4,4,NA,NA,NA,NA,6,NA,6,NA,5,5,NA,NA,5,6,NA,6,NA,5,NA,5,NA,NA,6,NA,NA,3,5,5,NA,6,3,5,NA,7,5,NA,NA,NA,NA,5,NA,NA,6,6,NA,NA,2,NA,NA,6,6,5,7,5,6,NA,NA,NA,4,6,NA,NA,8,NA,4,NA,6,3,NA,NA,4,4,6,NA,NA,6,6,6,5,8,4,6,NA,NA,5,5,7,6,6,NA,6,5,NA,5,7
"u22",7,NA,8,NA,NA,6,NA,7,6,8,5,NA,4,NA,NA,5,NA,4,7,6,7,5,5,7,6,4,NA,NA,NA,NA,5,5,6,6,6,NA,4,NA,9,5,NA,5,NA,4,NA,NA,6,NA,NA,6,NA,6,NA,NA,5,NA,6,5,5,5,NA,4,NA,NA,6,NA,NA,4,7,NA,NA,5,5,NA,6,4,NA,6,NA,5,NA,NA,7,5,NA,4,NA,5,4,4,4,4,NA,6,NA,6,5,NA,NA,7
"u23",NA,3,NA,7,5,NA,7,NA,NA,NA,NA,NA,NA,6,NA,NA,5,NA,NA,5,NA,6,5,6,6,4,8,NA,NA,NA,4,NA,6,NA,5,4,NA,6,7,5,NA,NA,NA,NA,4,7,NA,7,5,4,NA,6,6,NA,3,NA,6,NA,4,5,NA,NA,NA,6,NA,6,6,NA,NA,6,4,NA,NA,6,NA,4,NA,5,NA,NA,5,NA,6,NA,6,3,4,5,NA,NA,6,NA,NA,4,4,NA,5,8,4,7
"u24",NA,4,7,5,5,7,NA,NA,NA,5,4,NA,NA,6,NA,NA,NA,NA,6,5,5,NA,NA,6,5,NA,NA,6,7,NA,NA,5,NA,4,NA,NA,NA,NA,5,5,3,5,NA,NA,6,NA,6,NA,NA,NA,7,NA,NA,5,NA,4,NA,4,5,NA,6,3,8,5,5,NA,5,6,NA,4,5,6,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,NA,6,4,NA,NA,5,5,6,NA,NA,5,7
"u25",NA,NA,6,5,6,NA,NA,5,6,7,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,5,6,NA,5,NA,6,6,NA,NA,5,NA,6,6,6,NA,6,6,NA,4,NA,NA,4,NA,NA,7,7,NA,4,6,7,6,NA,6,NA,7,3,4,4,NA,NA,7,NA,NA,5,NA,6,NA,4,NA,6,NA,NA,6,4,NA,4,5,NA,4,NA,8,NA,NA,5,NA,5,NA,4,7,NA,6,4,7,5,6,7,NA,NA
"u26",NA,NA,NA,NA,6,NA,5,6,5,7,NA,NA,4,6,4,NA,6,4,7,NA,NA,NA,NA,NA,NA,5,NA,4,NA,6,5,NA,NA,NA,4,NA,6,6,NA,NA,NA,NA,7,NA,NA,8,6,NA,4,6,6,3,5,NA,4,NA,7,6,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,6,NA,6,NA,4,5,NA,6,NA,NA,6,6,5,7,4,3,6,5,5,6,6,NA,6,5,NA,NA,6,NA,NA
"u27",6,5,6,6,NA,NA,5,NA,5,NA,5,NA,6,5,5,5,4,4,NA,NA,5,NA,4,NA,NA,NA,8,4,5,NA,5,5,NA,4,NA,3,NA,5,NA,NA,4,NA,6,4,4,8,NA,7,4,NA,NA,NA,NA,7,6,4,7,NA,NA,6,NA,NA,5,3,4,2,NA,NA,7,6,NA,6,NA,6,NA,NA,3,5,4,6,4,5,7,NA,6,NA,5,NA,5,NA,NA,4,6,5,NA,4,NA,6,5,7
"u28",5,NA,6,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,6,4,4,NA,7,NA,5,NA,5,NA,5,5,NA,NA,NA,7,NA,5,5,NA,4,5,5,5,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,6,5,NA,5,NA,NA,NA,NA,6,NA,7,6,5,NA,5,3,6,NA,NA,NA,5,6,6,NA,NA,4,5,NA,5,NA,4,5,6,NA,NA,5,NA,NA,6,NA
"u29",5,4,7,4,NA,NA,NA,NA,4,NA,5,NA,7,7,6,4,NA,6,NA,NA,5,NA,NA,5,NA,NA,8,4,6,4,5,NA,5,NA,6,NA,NA,NA,6,5,5,NA,7,3,6,5,5,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,5,NA,6,NA,NA,5,NA,6,5,6,7,5,6,6,4,NA,NA,NA,NA,NA,6,6,NA,6,6,NA,NA,7,NA,3,NA,NA,NA,NA,NA,5,NA,6,NA,NA,NA,NA
"u30",NA,NA,7,5,4,5,NA,6,5,8,5,4,5,NA,7,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,9,NA,4,4,NA,NA,NA,5,4,4,4,5,NA,NA,5,4,NA,3,4,6,NA,NA,6,NA,NA,5,NA,NA,5,NA,7,4,6,NA,NA,5,8,6,NA,NA,3,NA,6,NA,NA,5,NA,5,5,5,NA,6,NA,NA,5,NA,6,5,NA,4,4,6,5,NA,4,NA,NA,4,5,5,NA,NA,6,NA
"u31",5,5,NA,NA,5,NA,6,NA,NA,NA,NA,4,4,5,NA,4,NA,NA,6,NA,4,NA,3,5,5,NA,8,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,7,4,5,NA,NA,5,4,7,NA,NA,NA,NA,NA,NA,4,5,4,4,6,4,5,4,NA,4,NA,NA,3,NA,4,NA,6,NA,5,NA,4,NA,NA,3,NA,6,7,NA,4,NA,6,5,5,NA,3,NA,6,NA,5,4,4,6,4,NA,5,NA,5,8
"u32",7,NA,NA,NA,6,NA,6,7,6,6,NA,5,3,6,4,NA,5,NA,7,NA,5,NA,3,6,NA,NA,NA,4,NA,NA,4,3,NA,5,NA,5,5,4,6,6,NA,NA,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,5,NA,4,NA,5,NA,NA,NA,NA,NA,NA,6,5,6,NA,NA,4,6,NA,NA,NA,7,4,5,6,7,NA,NA,5,6,6,NA,NA,5,6,NA,NA,NA,NA,5,NA,6,NA,5,8,5,8
"u33",NA,NA,NA,6,7,6,NA,4,NA,NA,NA,NA,5,NA,NA,4,NA,5,NA,NA,5,NA,NA,5,7,NA,7,6,NA,6,NA,5,NA,NA,6,5,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,5,6,NA,NA,3,6,3,5,4,NA,NA,6,5,7,4,5,NA,7,6,NA,5,5,7,6,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,7,NA,6,4,NA,NA,NA,6,NA
"u34",7,6,NA,6,5,5,NA,NA,NA,NA,5,4,NA,6,NA,4,NA,4,6,NA,5,6,5,5,6,5,7,6,7,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,7,NA,5,7,NA,6,NA,4,6,NA,6,5,4,NA,6,NA,NA,5,NA,NA,NA,3,NA,4,NA,5,7,NA,NA,5,NA,6,6,4,NA,NA,NA,NA,NA,5,7,NA,NA,5,6,NA,NA,5,5,NA,NA,5,NA,4,NA,NA,NA,9
"u35",NA,NA,6,NA,4,NA,NA,6,6,NA,NA,NA,6,NA,6,5,6,5,7,5,NA,NA,NA,NA,6,NA,7,NA,NA,NA,5,6,5,5,NA,NA,5,NA,NA,NA,4,6,NA,NA,NA,NA,6,6,NA,NA,6,5,7,NA,NA,NA,NA,5,5,NA,NA,NA,4,4,6,4,NA,NA,7,4,NA,NA,NA,NA,NA,4,NA,6,5,7,5,6,NA,4,NA,NA,5,5,5,NA,6,NA,6,5,NA,NA,NA,6,7,NA
"u36",6,NA,NA,NA,NA,NA,6,5,6,NA,NA,NA,5,5,NA,5,NA,4,NA,5,NA,NA,5,NA,5,NA,8,5,5,5,6,6,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,4,6,7,NA,5,NA,4,5,NA,NA,5,4,6,6,3,3,NA,6,NA,6,NA,7,NA,3,7,6,NA,NA,NA,4,5,4,NA,5,7,NA,6,5,NA,7,NA,5,4,4,6,5,5,NA,5,5,NA,NA,NA,NA,7,NA,NA
"u37",6,NA,NA,NA,5,NA,NA,NA,NA,8,3,NA,NA,NA,5,4,NA,NA,7,6,NA,6,4,6,NA,NA,NA,NA,NA,NA,7,7,5,5,7,5,4,NA,NA,5,3,5,NA,4,4,NA,NA,NA,7,NA,6,6,5,5,4,NA,NA,6,4,5,NA,NA,NA,5,7,NA,NA,NA,8,5,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,7,4,5,4,5,5,5,NA,NA,6,4,3,6,6,NA,NA,6,7
"u38",NA,6,6,5,4,6,4,6,5,7,6,3,NA,NA,NA,NA,NA,5,6,NA,NA,7,4,6,6,NA,7,NA,NA,4,NA,5,NA,6,NA,5,3,NA,7,5,4,NA,NA,NA,5,NA,5,NA,5,NA,NA,4,NA,6,NA,6,6,4,NA,NA,7,5,NA,NA,4,5,5,NA,8,5,NA,6,NA,5,5,3,5,6,6,NA,5,NA,8,NA,5,5,NA,NA,6,5,NA,5,7,3,4,NA,NA,6,NA,7
"u39",NA,6,NA,NA,NA,7,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,NA,NA,NA,NA,5,NA,NA,5,6,NA,NA,6,NA,5,4,7,5,NA,6,5,NA,4,8,5,6,7,6,7,5,7,NA,5,3,NA,4,NA,5,NA,NA,7,6,5,4,NA,5,NA,NA,NA,3,NA,NA,5,4,NA,6,NA,6,6,NA,NA,NA,NA,5,NA,7,NA,NA,NA,6,NA,NA,6,NA,5,NA,NA,6
"u40",NA,4,NA,NA,6,NA,NA,4,4,7,4,5,NA,7,5,5,5,6,7,NA,5,NA,NA,NA,NA,4,NA,6,NA,5,5,NA,NA,5,4,2,6,NA,6,NA,4,6,7,4,4,8,6,6,5,6,NA,NA,NA,4,3,5,6,4,NA,5,NA,4,NA,NA,5,NA,5,NA,NA,4,5,3,4,NA,NA,NA,NA,NA,7,6,4,6,NA,NA,NA,NA,NA,NA,NA,6,NA,5,NA,6,NA,NA,5,NA,NA,NA
"u41",6,NA,7,NA,7,6,7,NA,NA,NA,5,NA,5,NA,NA,NA,5,6,NA,5,5,7,NA,4,5,5,NA,6,5,5,6,5,5,5,5,NA,6,NA,6,NA,NA,4,NA,NA,4,8,NA,NA,5,NA,NA,5,6,NA,4,6,NA,NA,5,NA,NA,NA,5,4,NA,6,NA,6,5,NA,6,NA,NA,6,4,3,3,6,6,5,5,6,NA,5,5,NA,NA,NA,NA,NA,5,7,NA,7,NA,NA,4,6,NA,8
"u42",NA,NA,NA,NA,5,5,5,6,4,7,4,NA,NA,6,5,5,NA,NA,6,NA,5,NA,5,5,6,5,9,6,6,4,NA,NA,4,6,NA,3,NA,NA,NA,5,5,NA,6,4,3,NA,6,NA,4,4,6,5,5,NA,NA,NA,7,5,NA,6,NA,4,6,4,NA,NA,NA,6,NA,4,5,NA,NA,NA,6,5,NA,NA,7,NA,NA,5,NA,5,4,NA,5,NA,NA,6,5,NA,5,NA,5,NA,4,6,6,7
"u43",6,6,NA,4,NA,NA,6,6,NA,6,6,NA,NA,5,5,3,5,6,7,5,4,NA,NA,NA,NA,5,8,NA,NA,5,6,NA,6,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,8,NA,4,NA,NA,4,NA,4,5,4,4,NA,4,6,7,NA,6,NA,4,5,4,NA,NA,NA,NA,6,NA,3,NA,4,5,NA,NA,NA,5,7,6,3,NA,4,4,5,NA,NA,6,5,NA,NA,4,6,NA,6,NA,7
"u44",6,NA,6,NA,NA,NA,7,NA,6,4,6,3,NA,NA,NA,4,NA,NA,NA,5,NA,NA,5,NA,NA,NA,8,NA,5,6,7,4,NA,3,5,5,6,4,7,6,5,6,NA,NA,NA,6,NA,NA,NA,4,7,5,6,NA,4,NA,6,NA,6,NA,NA,5,7,4,NA,6,NA,5,NA,3,6,6,NA,5,NA,NA,NA,4,NA,6,6,5,NA,NA,6,NA,4,6,NA,NA,NA,NA,NA,5,4,NA,NA,NA,5,NA
"u45",NA,NA,NA,NA,6,6,NA,NA,5,NA,NA,NA,3,7,6,4,NA,NA,NA,NA,NA,NA,3,6,NA,5,8,NA,NA,5,NA,5,NA,NA,5,4,5,3,NA,3,NA,5,NA,5,NA,8,NA,NA,6,5,NA,NA,6,5,4,NA,6,6,5,5,NA,4,7,NA,6,NA,NA,NA,NA,4,5,NA,5,NA,NA,NA,NA,NA,6,NA,4,NA,6,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5,NA,NA,7,NA,6
"u46",5,6,6,5,NA,5,NA,NA,7,5,7,3,NA,6,NA,NA,NA,5,NA,NA,NA,6,NA,6,NA,5,NA,4,NA,5,NA,NA,NA,NA,5,NA,NA,2,6,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,7,6,6,5,NA,5,NA,5,NA,NA,NA,NA,NA,4,7,NA,NA,6,NA,NA,NA,7,4,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,7,5,NA,5,NA,6,NA,NA,NA,5,4,5,5,7,5,NA
"u47",NA,5,5,7,6,NA,6,7,NA,7,4,NA,5,NA,NA,NA,NA,NA,NA,NA,6,8,NA,5,5,6,8,NA,NA,6,NA,NA,NA,NA,NA,5,4,NA,NA,4,NA,NA,6,NA,5,NA,NA,NA,6,7,NA,5,6,NA,5,NA,6,NA,NA,NA,8,6,6,NA,NA,NA,4,NA,NA,5,7,NA,4,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,3,4,4,NA,6,NA,NA,NA,NA,5,NA,NA,NA,7,6,NA
"u48",NA,7,NA,7,NA,NA,NA,4,5,NA,NA,5,4,7,NA,NA,NA,4,5,5,NA,6,4,6,7,5,8,5,NA,NA,5,4,NA,4,5,NA,4,NA,5,NA,4,NA,NA,NA,5,NA,NA,6,6,6,5,NA,NA,5,6,5,NA,NA,5,5,NA,NA,6,NA,NA,NA,NA,6,NA,6,NA,6,3,NA,NA,4,5,NA,5,5,4,5,7,4,NA,NA,NA,NA,6,6,NA,5,NA,5,NA,4,NA,6,NA,7
"u49",7,6,NA,6,5,NA,6,6,6,NA,NA,5,5,5,4,NA,6,5,5,NA,5,NA,4,6,NA,NA,NA,NA,NA,7,4,6,NA,NA,6,NA,6,5,NA,5,NA,4,NA,NA,NA,7,NA,6,NA,7,NA,NA,5,4,6,NA,5,NA,NA,4,NA,NA,6,5,NA,NA,NA,NA,NA,NA,6,4,4,NA,4,3,NA,5,5,NA,NA,NA,NA,NA,5,5,NA,5,4,NA,NA,NA,NA,NA,NA,6,5,NA,5,6
"u50",NA,4,NA,5,NA,NA,7,NA,7,NA,NA,2,NA,7,6,4,NA,6,6,NA,NA,7,NA,NA,6,NA,NA,5,NA,6,6,NA,NA,4,NA,NA,6,NA,NA,4,4,4,NA,4,NA,NA,NA,NA,4,5,7,5,NA,4,NA,5,6,NA,NA,4,NA,4,6,NA,NA,NA,4,NA,6,NA,5,NA,3,NA,5,NA,NA,6,6,NA,5,5,6,4,NA,4,5,NA,NA,NA,5,4,NA,4,4,NA,NA,6,4,7
"u51",5,5,5,5,6,5,7,NA,7,NA,NA,NA,NA,NA,5,4,5,NA,8,7,NA,NA,NA,NA,NA,NA,NA,5,5,4,NA,6,5,NA,NA,5,6,5,7,5,NA,NA,NA,NA,5,NA,7,7,NA,4,5,NA,NA,6,6,NA,7,3,NA,4,NA,5,6,NA,5,NA,NA,5,NA,NA,5,5,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,6,NA,5,NA,NA,3,7,NA,6
"u52",6,5,7,NA,4,7,NA,5,7,NA,NA,NA,NA,6,NA,NA,NA,7,6,NA,5,NA,3,5,NA,5,6,4,5,6,4,NA,4,NA,5,5,NA,3,7,7,5,NA,6,NA,NA,6,7,NA,5,5,NA,NA,NA,4,4,4,NA,4,NA,6,NA,NA,6,5,NA,NA,NA,NA,NA,4,6,4,NA,4,NA,4,NA,NA,NA,6,4,NA,5,NA,NA,5,5,5,4,6,4,NA,NA,5,4,6,5,NA,4,NA
